route_id,service_id,trip_id,trip_headsign,direction_id,block_id
170-256,JAN17B-JANDA17-Weekday-17,44818102-JAN17B-JANDA17-Weekday-17,"Barrhaven Centre",1,5272156
170-256,JAN17B-JANDA17-Weekday-17,44818103-JAN17B-JANDA17-Weekday-17,"Fallowfield",0,5271674
171-256,JAN17B-JANDA17-Weekday-17,44818104-JAN17B-JANDA17-Weekday-17,"Barrhaven Centre",1,5271484
171-256,JAN17B-JANDA17-Weekday-17,44818105-JAN17B-JANDA17-Weekday-17,"Fallowfield",0,5271484
171-256,JAN17B-JANDA17-Weekday-17,44818106-JAN17B-JANDA17-Weekday-17,"Barrhaven Centre",1,5271484
177-256,JAN17B-JANDA17-Weekday-17,44818107-JAN17B-JANDA17-Weekday-17,"Cambrian",1,5271960
177-256,JAN17B-JANDA17-Weekday-17,44818108-JAN17B-JANDA17-Weekday-17,"Barrhaven Centre",0,5271960
170-256,JAN17B-JANDA17-Weekday-17,44818109-JAN17B-JANDA17-Weekday-17,"Fallowfield",0,5271960
171-256,JAN17B-JANDA17-Weekday-17,44818110-JAN17B-JANDA17-Weekday-17,"Barrhaven Centre",1,5271733
149-256,JAN17B-JANDA17-Weekday-17,44818111-JAN17B-JANDA17-Weekday-17,"Hurdman",1,5272378
146-256,JAN17B-JANDA17-Weekday-17,44818112-JAN17B-JANDA17-Weekday-17,"South Keys",0,5272767
146-256,JAN17B-JANDA17-Weekday-17,44818113-JAN17B-JANDA17-Weekday-17,"Hurdman",1,5272767
129-256,JAN17B-JANDA17-Weekday-17,44818114-JAN17B-JANDA17-Weekday-17,"Carson's",0,5271509
129-256,JAN17B-JANDA17-Weekday-17,44818115-JAN17B-JANDA17-Weekday-17,"Hurdman",1,5271509
129-256,JAN17B-JANDA17-Weekday-17,44818116-JAN17B-JANDA17-Weekday-17,"Carson's",0,5271509
129-256,JAN17B-JANDA17-Weekday-17,44818117-JAN17B-JANDA17-Weekday-17,"Hurdman",1,5271509
129-256,JAN17B-JANDA17-Weekday-17,44818118-JAN17B-JANDA17-Weekday-17,"Carson's",0,5272087
129-256,JAN17B-JANDA17-Weekday-17,44818119-JAN17B-JANDA17-Weekday-17,"Hurdman",1,5272087
149-256,JAN17B-JANDA17-Weekday-17,44818120-JAN17B-JANDA17-Weekday-17,"Hurdman",1,5272767
118-256,JAN17B-JANDA17-Weekday-17,44818121-JAN17B-JANDA17-Weekday-17,"Hurdman",0,5271708
9-256,JAN17B-JANDA17-Weekday-17,44818122-JAN17B-JANDA17-Weekday-17,"Hurdman",1,5271619
9-256,JAN17B-JANDA17-Weekday-17,44818123-JAN17B-JANDA17-Weekday-17,"Rideau",0,5271708
95-256,JAN17B-JANDA17-Weekday-17,44818124-JAN17B-JANDA17-Weekday-17,"Barrhaven Centre",1,5272477
99-256,JAN17B-JANDA17-Weekday-17,44818125-JAN17B-JANDA17-Weekday-17,"Greenboro",0,5271660
